Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,1u,
"C10, C4",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,1n,
"C11, C5",CP_Radial_D5.0mm_P2.00mm,2,2u2,
"C12, C6",CP_Radial_D5.0mm_P2.00mm,2,22u,
"C13, C14",CP_Radial_D8.0mm_P3.50mm,2,100u,
"C2, C8",CP_Radial_D5.0mm_P2.00mm,2,10u,
"C3, C9",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,10n,
"J1, J2",PinHeader_1x03_P2.54mm_Vertical,2,Screw_Terminal_01x03,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Screw_Terminal_01x02,
"R1, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,91k,
"R10, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,120k,
"R11, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1M,
"R12, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,51k,
"R13, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10k,
"R14, R7",Potentiometer_Bourns_3296W_Vertical,2,10k,
"R2, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100k,
U1,DIP-8_W7.62mm_Socket_LongPads,1,NE5532,
U2,DIP-8_W7.62mm_Socket_LongPads,1,TL072,
